reference	Nr	PlantNaam	Licht	Vochtigheid	Plantdichtheid	Habitat	Kleur	Hooghte	bladhooghte	bloei	
1622882184-10964	11	Tellima grandiflora	half schaduw             	fris                	aantal  : 7 tot 10 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend  snijbloem	rood    	 40 cm  	    20 cm  	    20 cm  	  5- 6
1622883995-14781	12	Anemone blanda 'Blue Shades'	zon   half schaduw             	               	DRIFT	Bos en onder bomen met droge bodem (B1)     Bos en onder bomen met frisse bodem (B2)     Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	blauw    	 10 cm  	     5 cm  	     5 cm  	  3- 3
1622881181-8934	13	Iberis sempervirens 'Schneeflocke'	zon              	droog fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Muurbeplanting met droge bodem (M1)     Muurbeplanting met frisse bodem (M2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)     Steenvoegen met droge bodem (SV1)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend  bodembedekker  bijenplant	wit    	 20 cm  	    10 cm  	    10 cm  	  5- 7
1622884950-16994	14	Acaena magellanica	zon              	droog fris                	aantal  : 8 tot 12 per m2  - werkelijk zeer grote vlakken (E)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Ondiepe, droge bodem (OB1)     Ondiepe, frisse bodem (OB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  bodembedekker	bruin    	 10 cm  	    10 cm  	    10 cm  	  6- 8
1622880377-7374	15	Miscanthus sinensis 'Yaku Jima'	zon              	fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem	roze    	100 cm  	    50 cm  	    50 cm  	  8-10
1622883625-13973	16	Rudbeckia triloba	zon              	fris                	aantal  : 6 tot 9 per m2  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  bijenplant	geel    	120 cm  	    80 cm  	    80 cm  	  6-10
1622883406-13525	17	Aster radula	zon              	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               snijbloem  vlinderplant nectar  bijenplant    macho	violet    	 60 cm  	    30 cm  	    30 cm  	  7- 9
1622880577-7792	18	Iris 'Supreme Sultan' (Germanica-Group)	zon              	droog fris                	aantal  : 7 tot 10 per m2	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem	geel    	100 cm  	    60 cm  	    60 cm  	  5- 6
1622882204-10997	19	Primula elatior	zon   half schaduw             	fris vochtig                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)          extra informatie       Uitzaaiend	geel    	 25 cm  	    10 cm  	    10 cm  	  5- 7
1622882814-12076	20	Agapanthus africanus	zon              	fris             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  bijenplant	blauw    	120 cm  	    30 cm  	    30 cm  	  7- 8
1622879971-6421	21	Asarum splendens	half schaduw             	fris             afdekken    	aantal  : 9 tot 15 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend  bodembedekker	groen    	 15 cm  	    15 cm  	    15 cm  	  3- 4
1622882921-12300	22	Erigeron 'Sommerneuschnee'	zon              	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	 50 cm  	    30 cm  	    30 cm  	  6- 9
1622881019-8687	23	Vinca minor 'Alba'	half schaduw  schaduw             	fris                	aantal  : 8 tot 12 per m2  - werkelijk zeer grote vlakken (E)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie       Licht woekerend         bladhoudend  bodembedekker	wit    	 15 cm  	    10 cm  	    10 cm  	  4- 5
1622883870-14509	24	Nepeta yunnanensis 'Blue Dragon'	zon              	droog fris                	aantal  : 7 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar	blauw    	 90 cm  	    70 cm  	    70 cm  	  6- 9
1622880692-8003	25	Persicaria bistorta 'Superba'	zon   half schaduw             	               	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)     Stenige, frisse bodem (ST2)     Stenige, vochtige bodem (ST3)          extra informatie       Woekerend         bodembedekker  snijbloem  vlinderplant nectar  macho	roze    	 60 cm  	    30 cm  	    30 cm  	  6- 7
1622882245-11077	26	Aquilegia 'Green Apples'	zon   half schaduw             	fris                	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie       Uitzaaiend         snijbloem  bijenplant	wit    	 60 cm  	    30 cm  	    30 cm  	  5- 7
1622880535-7723	27	Amsonia tabernaemontana var. salicifolia	zon   half schaduw             	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem	blauw    	100 cm  	    80 cm  	    80 cm  	  5- 7
1622880433-7487	28	Echinacea pallida 'Hula Dancer'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	 80 cm  	    40 cm  	    40 cm  	  7- 9
1622884656-16390	29	Catananche caerulea	zon              	droog             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Ondiepe, droge bodem (OB1)     Open plaatsen met droge bodem (OP1)     Stenige, droge bodem (ST1)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	blauw    	 50 cm  	    30 cm  	    30 cm  	  7- 9
1622884307-15567	30	Althaea cannabina	zon              	fris vochtig                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Uitzaaiend         vlinderplant nectar  bijenplant	roze    	180 cm  	   125 cm  	   125 cm  	  7- 9
1622884150-15139	31	Campanula persicifolia 'Grandiflora Alba'	zon              	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Licht woekerend         snijbloem  bijenplant	wit    	 80 cm  	    40 cm  	    40 cm  	  6- 7
1622881517-9631	32	Aster dumosus 'Niobe'	zon              	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bodembedekker  snijbloem  vlinderplant nectar  bijenplant	wit    	 35 cm  	    30 cm  	    30 cm  	  9-10
1622884876-16854	33	Aster novae-angliae 'Violetta'	zon              	fris                	aantal  : 2 tot 4 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	violet    	150 cm  	   125 cm  	   125 cm  	  8-10
1622879640-5726	34	Humulus lupulus	zon   half schaduw             	fris                	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Hard woekerend	groen    	600 cm  	   600 cm  	   600 cm  	  5- 6
1622883783-14323	35	Campanula persicifolia 'Grandiflora Alba'	zon              	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Licht woekerend         snijbloem  bijenplant	wit    	 80 cm  	    40 cm  	    40 cm  	  6- 7
1622881941-10533	36	Sporobolus heterolepis VEG.	zon              	droog fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               Aromatisch   snijbloem	grijs    	 80 cm  	    40 cm  	    40 cm  	  8-10
1622882941-12339	37	Alcea rosea 'Charters Gelb'	zon              	fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	geel    	170 cm  	    30 cm  	    30 cm  	  7- 9
1622883731-14179	38	Narcissus 'Hawera'	zon              	droog fris                	DRIFT	Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               Aromatisch   snijbloem	geel    	 20 cm  	    10 cm  	    10 cm  	  4- 5
1622884736-16547	39	Muscari 'Pink Sunrise'	zon              	droog fris                	DRIFT	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie                                                                                                           New	roze    	 20 cm  	    10 cm  	    10 cm  	  3- 5
1622880366-7345	40	Carex oshimensis EVEREST® (= 'Fiwhite' PBR)	half schaduw  schaduw             	fris                	aantal  : 7 tot 10 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend  bodembedekker  macho	bruin    	 30 cm  	    20 cm  	    20 cm  	  5- 6
1622882381-11268	41	Mazus miquelii	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - grotere kolonies in lage beplanting (D)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Licht woekerend         bladhoudend  bodembedekker	violet    	  5 cm  	     5 cm  	     5 cm  	  5- 6
1622880915-8492	42	Echinacea purpurea 'Hot Summer' PBR	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	rood    	 90 cm  	    50 cm  	    50 cm  	  7- 9
1622883551-13845	43	Knautia arvensis	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Sterk uitzaaiend         snijbloem  vlinderplant nectar  bijenplant	lila    	 60 cm  	    20 cm  	    20 cm  	  6-10
1622884634-16334	44	Penstemon 'Purple Passion'	zon              	            afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem  bijenplant	violet    	 60 cm  	    30 cm  	    30 cm  	  6- 8
1622883284-13205	45	Coreopsis verticillata 'Crazy Cayenne'	zon              	fris             afdekken    	aantal  : 7 tot 10 per m2	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant                                                                                                New	oranje    	 50 cm  	    25 cm  	    25 cm  	  7- 9
1622883293-13234	46	Nepeta subsessilis	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar	blauw    	 50 cm  	    40 cm  	    40 cm  	  6- 9
1622882017-10677	47	Pennisetum orientale 'Flamingo'	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - werkelijk zeer grote vlakken (E)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem	roze    	 80 cm  	    40 cm  	    40 cm  	  6-10
1622884266-15447	48	Aruncus 'Horatio'	zon   half schaduw             	fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2B)          extra informatie	wit    	 80 cm  	    50 cm  	    50 cm  	  5- 7
1622881698-10043	49	Astilbe 'Chocolate Shogun'	zon   half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	roze    	 50 cm  	    30 cm  	    30 cm  	  6- 7
1622881833-10344	50	Helleborus orientalis PINK	zon   half schaduw             	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bladhoudend	roze    	 50 cm  	    40 cm  	    40 cm  	  2- 4
1622883596-13934	51	Stipa tenuissima	zon              	droog                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Steppe (kalk) met droge bodem (SH1)     Stenige, droge bodem (ST1)          extra informatie       Uitzaaiend         bladhoudend  snijbloem	geel    	 40 cm  	    30 cm  	    30 cm  	  7- 8
1622881255-9103	52	Phlox subulata 'Scarlet Flame'	zon              	droog fris                	aantal  : 8 tot 12 per m2	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Muurbeplanting met droge bodem (M1)     Muurbeplanting met frisse bodem (M2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  bodembedekker	rood    	 15 cm  	    10 cm  	    10 cm  	  5- 6
1622880623-7873	53	Aster novae-angliae 'Violetta'	zon              	fris                	aantal  : 2 tot 4 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	violet    	150 cm  	   125 cm  	   125 cm  	  8-10
1622884968-17031	54	Aster alpinus	zon              	droog fris                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Ondiepe, droge bodem (OB1)     Ondiepe, frisse bodem (OB2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               vlinderplant nectar  bijenplant	blauw    	 20 cm  	    10 cm  	    10 cm  	  5- 6
1622879609-5649	55	Pimpinella major 'Rosea'	zon   half schaduw             	fris vochtig                	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3)     Open plaatsen met vochtige bodem (OP3B)          extra informatie	roze    	 60 cm  	    40 cm  	    40 cm  	  6- 8
1622884932-16964	56	Tulipa 'Chansonnette'	zon              	droog fris                	DRIFT	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	paars    	 60 cm  	    30 cm  	    30 cm  	  4- 5
1622879768-6005	57	Echinacea purpurea 'Aloha' PBR	zon              	droog fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	geel    	 80 cm  	    40 cm  	    40 cm  	  6- 9
1622880379-7376	58	Leucanthemum 'Christine Hagemann' (Superbum-Gr)	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	wit    	 70 cm  	    30 cm  	    30 cm  	  6-10
1622881857-10379	59	Campanula glomerata 'Acaulis'	zon   half schaduw             	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie       Licht woekerend         snijbloem  bijenplant	blauw    	 25 cm  	    10 cm  	    10 cm  	  6- 8
1622882979-12420	60	Echinacea purpurea 'Primadonna White'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	 80 cm  	    40 cm  	    40 cm  	  7-10
1622881776-10225	61	Liriope muscari 'Ingwersen'	half schaduw  schaduw             	fris                	aantal  : 9 tot 12 per m2	Bos en onder bomen met droge bodem (B1)     Bos en onder bomen met frisse bodem (B2)     Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  bodembedekker  snijbloem  macho	violet    	 40 cm  	    30 cm  	    30 cm  	  7-10
1622884620-16305	62	Salvia nemorosa 'Blauhügel'	zon              	droog fris                	aantal  : 7 tot 10 per m2	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	blauw    	 40 cm  	    25 cm  	    25 cm  	  6- 8
1622884257-15421	63	Hosta 'Jurassic Park' (sieboldiana)	half schaduw  schaduw             	fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem	lila    	160 cm  	   125 cm  	   125 cm  	  7- 8
1622882347-11205	64	Aster dumosus 'Bahamas'	zon              	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bodembedekker  snijbloem  vlinderplant nectar  bijenplant	rood    	 35 cm  	    30 cm  	    30 cm  	  9-10
1622883726-14173	65	Euphorbia myrsinites	zon              	droog fris                	aantal  : 7 tot 10 per m2	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Muurbeplanting met droge bodem (M1)     Muurbeplanting met frisse bodem (M2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)     Steenvoegen met droge bodem (SV1)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend	geel    	 15 cm  	    15 cm  	    15 cm  	  5- 6
1622882300-11160	66	Amsonia 'Ernst Pagels'	zon   half schaduw             	droog fris                	aantal  : 7 tot 10 per m2	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem	blauw    	100 cm  	    50 cm  	    50 cm  	  5- 6
1622880978-8608	67	Lythrum salicaria JS® 'Pink Tails'	zon   half schaduw             	vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met vochtige bodem (GB3)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem  vlinderplant nectar  waardplant vlinders  bijenplant                                                                                                JS	roze    	140 cm  	    70 cm  	    70 cm  	  6- 9
1622883868-14506	68	Arabis caucasica 'Snowcap'	zon   half schaduw             	fris                	aantal  : 9 tot 15 per m2	Muurbeplanting met frisse bodem (M2)     Ondiepe, frisse bodem (OB2)     Stenige, frisse bodem (ST2)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend  bodembedekker  bijenplant	wit    	 15 cm  	     5 cm  	     5 cm  	  4- 6
